nutrition,value,measure,food_product
Protein,0.14,G,almond
Total lipid (fat),0.311797752808989,G,almond
"Carbohydrate, by difference",0.0147450980392157,G,almond
"Fiber, total dietary",0.08046875,G,almond
"Calcium, Ca",0.266923076923077,MG,almond
"Iron, Fe",0.193888888888889,MG,almond
"Magnesium, Mg",0.6642857142857139,MG,almond
"Phosphorus, P",0.4064,MG,almond
"Potassium, K",0.15914893617021303,MG,almond
"Sodium, Na",0.0986956521739131,MG,almond
"Zinc, Zn",0.29909090909090896,MG,almond
"Copper, Cu",1.03777777777778,MG,almond
"Selenium, Se",0.0436363636363636,UG,almond
"Vitamin A, RAE",0.0,UG,almond
Vitamin E (alpha-tocopherol),1.6133333333333302,MG,almond
Vitamin D (D2 + D3),0.0,UG,almond
"Vitamin C, total ascorbic acid",0.0,MG,almond
Thiamin,0.0341666666666667,MG,almond
Riboflavin,0.722307692307692,MG,almond
Niacin,0.1975,MG,almond
Vitamin B-6,0.0605882352941176,MG,almond
Vitamin B-12,0.0,UG,almond
"Choline, total",0.0947272727272727,MG,almond
Vitamin K (phylloquinone),0.0,UG,almond
"Folate, DFE",0.1325,UG,almond
Cholesterol,0.0,MG,almond
"Fatty acids, total saturated",0.0545833333333333,G,almond
Protein,0.0,G,amaretto
Total lipid (fat),0.0561797752808989,G,amaretto
"Carbohydrate, by difference",0.0261176470588235,G,amaretto
"Fiber, total dietary",0.0,G,amaretto
"Calcium, Ca",0.0,MG,amaretto
"Iron, Fe",0.0,MG,amaretto
"Potassium, K",0.0,MG,amaretto
"Sodium, Na",0.0291304347826087,MG,amaretto
"Sugars, added",0.222,G,amaretto
Cholesterol,0.0,MG,amaretto
"Fatty acids, total saturated",0.02775,G,amaretto
Protein,0.19266666666666699,G,anchovy
Total lipid (fat),0.0545505617977528,G,anchovy
"Carbohydrate, by difference",0.0,G,anchovy
"Fiber, total dietary",0.0,G,anchovy
"Calcium, Ca",0.178461538461538,MG,anchovy
"Iron, Fe",0.25722222222222196,MG,anchovy
"Magnesium, Mg",0.16428571428571398,MG,anchovy
"Phosphorus, P",0.2016,MG,anchovy
"Potassium, K",0.11574468085106401,MG,anchovy
"Sodium, Na",1.5956521739130403,MG,anchovy
"Zinc, Zn",0.22181818181818203,MG,anchovy
"Copper, Cu",0.3766666666666671,MG,anchovy
"Selenium, Se",1.23818181818182,UG,anchovy
"Vitamin A, RAE",0.0133333333333333,UG,anchovy
Vitamin E (alpha-tocopherol),0.222,MG,anchovy
Vitamin D (D2 + D3),0.085,UG,anchovy
"Vitamin C, total ascorbic acid",0.0,MG,anchovy
Thiamin,0.065,MG,anchovy
Riboflavin,0.279230769230769,MG,anchovy
Niacin,1.24375,MG,anchovy
Vitamin B-6,0.11941176470588198,MG,anchovy
Vitamin B-12,0.3666666666666671,UG,anchovy
"Choline, total",0.15454545454545499,MG,anchovy
Vitamin K (phylloquinone),0.10083333333333301,UG,anchovy
"Folate, DFE",0.0325,UG,anchovy
Cholesterol,0.28333333333333305,MG,anchovy
"Fatty acids, total saturated",0.0183333333333333,G,anchovy
"Calcium, Ca",0.496923076923077,MG,anise
Total lipid (fat),0.0893258426966292,G,anise
"Carbohydrate, by difference",0.0392156862745098,G,anise
"Potassium, K",0.306382978723404,MG,anise
"Zinc, Zn",0.48181818181818203,MG,anise
Niacin,0.19125,MG,anise
Pantothenic acid,0.1594,MG,anise
Protein,0.117333333333333,G,anise
"Fiber, total dietary",0.1140625,G,anise
"Vitamin C, total ascorbic acid",0.23333333333333303,MG,anise
Thiamin,0.28333333333333305,MG,anise
Riboflavin,0.223076923076923,MG,anise
Vitamin B-12,0.0,UG,anise
Cholesterol,0.0,MG,anise
"Iron, Fe",0.00205555555555556,MG,anise
"Magnesium, Mg",0.404761904761905,MG,anise
"Phosphorus, P",0.35200000000000004,MG,anise
"Sodium, Na",0.00695652173913044,MG,anise
"Copper, Cu",1.01111111111111,MG,anise
"Manganese, Mn",1.0,MG,anise
"Selenium, Se",0.0909090909090909,UG,anise
"Fatty acids, total saturated",0.00488333333333333,G,anise
"Folate, DFE",0.025,UG,anise
Vitamin B-6,0.38235294117647106,MG,anise
"Vitamin A, RAE",0.0177777777777778,UG,anise
Vitamin D (D2 + D3),0.0,UG,anise
"Calcium, Ca",0.0,MG,apple
"Iron, Fe",0.0127777777777778,MG,apple
"Sodium, Na",0.0,MG,apple
"Vitamin C, total ascorbic acid",0.0344444444444444,MG,apple
Cholesterol,0.0,MG,apple
"Fatty acids, total saturated",0.0,G,apple
Protein,0.0,G,apple
"Carbohydrate, by difference",0.0112156862745098,G,apple
"Fiber, total dietary",0.025,G,apple
"Potassium, K",0.0234042553191489,MG,apple
Total lipid (fat),0.0036516853932584297,G,apple
Protein,0.0028,G,apple juice
Total lipid (fat),0.0,G,apple juice
"Carbohydrate, by difference",0.0114509803921569,G,apple juice
"Fiber, total dietary",0.0,G,apple juice
"Calcium, Ca",0.0,MG,apple juice
"Iron, Fe",0.0,MG,apple juice
"Potassium, K",0.00936170212765957,MG,apple juice
"Sodium, Na",0.0,MG,apple juice
"Sugars, added",0.0,G,apple juice
Cholesterol,0.0,MG,apple juice
"Fatty acids, total saturated",0.0,G,apple juice
Protein,0.0,G,apricot
Total lipid (fat),0.0,G,apricot
"Carbohydrate, by difference",0.0105882352941176,G,apricot
"Potassium, K",0.0151063829787234,MG,apricot
"Sodium, Na",0.00260869565217391,MG,apricot
"Vitamin C, total ascorbic acid",0.19555555555555604,MG,apricot
Protein,0.0111333333333333,G,artichoke
Total lipid (fat),0.0374719101123595,G,artichoke
"Carbohydrate, by difference",0.00261176470588235,G,artichoke
"Fiber, total dietary",0.01328125,G,artichoke
"Calcium, Ca",0.0,MG,artichoke
"Iron, Fe",0.0333333333333333,MG,artichoke
"Sodium, Na",0.130434782608696,MG,artichoke
"Vitamin C, total ascorbic acid",0.0,MG,artichoke
Cholesterol,0.0,MG,artichoke
"Fatty acids, total saturated",0.0139166666666667,G,artichoke
Protein,0.0156666666666667,G,arugula
Total lipid (fat),0.00331460674157303,G,arugula
"Carbohydrate, by difference",0.00276862745098039,G,arugula
"Fiber, total dietary",0.009375,G,arugula
"Calcium, Ca",0.13538461538461502,MG,arugula
"Iron, Fe",0.0705555555555556,MG,arugula
"Sodium, Na",0.0126086956521739,MG,arugula
"Vitamin C, total ascorbic acid",0.156666666666667,MG,arugula
Cholesterol,0.0,MG,arugula
"Fatty acids, total saturated",0.0,G,arugula
Protein,0.00333333333333333,G,asian pear
Total lipid (fat),0.00129213483146067,G,asian pear
"Carbohydrate, by difference",0.00831372549019608,G,asian pear
"Fiber, total dietary",0.028125,G,asian pear
"Calcium, Ca",0.00307692307692308,MG,asian pear
"Iron, Fe",0.0,MG,asian pear
"Magnesium, Mg",0.019047619047619,MG,asian pear
"Phosphorus, P",0.0088,MG,asian pear
"Potassium, K",0.0257446808510638,MG,asian pear
"Sodium, Na",0.0,MG,asian pear
"Zinc, Zn",0.00181818181818182,MG,asian pear
"Copper, Cu",0.0555555555555556,MG,asian pear
"Selenium, Se",0.00181818181818182,UG,asian pear
"Vitamin A, RAE",0.0,UG,asian pear
Vitamin E (alpha-tocopherol),0.008,MG,asian pear
Vitamin D (D2 + D3),0.0,UG,asian pear
"Vitamin C, total ascorbic acid",0.0422222222222222,MG,asian pear
Thiamin,0.0075,MG,asian pear
Riboflavin,0.007692307692307691,MG,asian pear
Niacin,0.0136875,MG,asian pear
Vitamin B-6,0.0129411764705882,MG,asian pear
Vitamin B-12,0.0,UG,asian pear
"Choline, total",0.009272727272727271,MG,asian pear
Vitamin K (phylloquinone),0.0375,UG,asian pear
"Folate, DFE",0.02,UG,asian pear
Cholesterol,0.0,MG,asian pear
"Fatty acids, total saturated",0.0001,G,asian pear
Protein,0.0156666666666667,G,asparagus
Total lipid (fat),0.0,G,asparagus
"Carbohydrate, by difference",0.00276862745098039,G,asparagus
"Fiber, total dietary",0.01875,G,asparagus
"Calcium, Ca",0.0184615384615385,MG,asparagus
"Iron, Fe",0.11777777777777802,MG,asparagus
"Potassium, K",0.0429787234042553,MG,asparagus
"Sodium, Na",0.0,MG,asparagus
"Vitamin C, total ascorbic acid",0.0655555555555556,MG,asparagus
"Sugars, added",0.0,G,asparagus
Cholesterol,0.0,MG,asparagus
"Fatty acids, total saturated",0.0,G,asparagus
Protein,0.0011333333333333302,G,aspen
Total lipid (fat),0.0,G,aspen
"Carbohydrate, by difference",0.000572549019607843,G,aspen
"Fiber, total dietary",0.0,G,aspen
"Calcium, Ca",0.00307692307692308,MG,aspen
"Iron, Fe",0.0,MG,aspen
"Magnesium, Mg",0.00952380952380952,MG,aspen
"Phosphorus, P",0.0064,MG,aspen
"Potassium, K",0.00361702127659574,MG,aspen
"Sodium, Na",1.30434782608696,MG,aspen
"Zinc, Zn",0.000909090909090909,MG,aspen
"Copper, Cu",0.00222222222222222,MG,aspen
"Selenium, Se",0.0,UG,aspen
"Vitamin A, RAE",0.0,UG,aspen
Vitamin E (alpha-tocopherol),0.0,MG,aspen
Vitamin D (D2 + D3),0.0,UG,aspen
"Vitamin C, total ascorbic acid",0.0,MG,aspen
Thiamin,0.0,MG,aspen
Riboflavin,0.0,MG,aspen
Niacin,0.0,MG,aspen
Vitamin B-6,0.0,MG,aspen
Vitamin B-12,0.0,UG,aspen
"Choline, total",0.0,MG,aspen
Vitamin K (phylloquinone),0.0,UG,aspen
"Folate, DFE",0.0,UG,aspen
Cholesterol,0.0,MG,aspen
"Fatty acids, total saturated",0.0,G,aspen
Protein,0.0126666666666667,G,avocado
Total lipid (fat),0.243258426966292,G,avocado
"Carbohydrate, by difference",0.00577254901960784,G,avocado
"Fiber, total dietary",0.00078125,G,avocado
"Calcium, Ca",0.0261538461538462,MG,avocado
"Iron, Fe",0.0194444444444444,MG,avocado
"Magnesium, Mg",0.0166666666666667,MG,avocado
"Phosphorus, P",0.0248,MG,avocado
"Potassium, K",0.0123404255319149,MG,avocado
"Sodium, Na",0.37695652173913,MG,avocado
"Zinc, Zn",0.0227272727272727,MG,avocado
"Copper, Cu",0.0111111111111111,MG,avocado
"Selenium, Se",0.0290909090909091,UG,avocado
"Vitamin A, RAE",0.0111111111111111,UG,avocado
Vitamin E (alpha-tocopherol),0.306666666666667,MG,avocado
Vitamin D (D2 + D3),0.0,UG,avocado
"Vitamin C, total ascorbic acid",0.00222222222222222,MG,avocado
Thiamin,0.0166666666666667,MG,avocado
Riboflavin,0.0384615384615385,MG,avocado
Niacin,0.00875,MG,avocado
Vitamin B-6,0.0058823529411764705,MG,avocado
Vitamin B-12,0.108333333333333,UG,avocado
"Choline, total",0.00654545454545455,MG,avocado
Vitamin K (phylloquinone),0.805833333333333,UG,avocado
"Folate, DFE",0.01,UG,avocado
Cholesterol,0.133333333333333,MG,avocado
"Fatty acids, total saturated",0.0498333333333333,G,avocado
Protein,0.23800000000000002,G,bacon
Total lipid (fat),0.200561797752809,G,bacon
"Carbohydrate, by difference",0.0,G,bacon
"Fiber, total dietary",0.0,G,bacon
"Calcium, Ca",0.0,MG,bacon
"Iron, Fe",0.14277777777777803,MG,bacon
"Sodium, Na",0.8695652173913041,MG,bacon
"Vitamin C, total ascorbic acid",0.0,MG,bacon
Cholesterol,0.12,MG,bacon
"Fatty acids, total saturated",0.11916666666666699,G,bacon
Protein,0.0833333333333333,G,banana
Total lipid (fat),0.0351123595505618,G,banana
"Carbohydrate, by difference",0.031843137254901996,G,banana
"Fiber, total dietary",0.0484375,G,banana
"Calcium, Ca",0.0961538461538461,MG,banana
"Iron, Fe",0.0622222222222222,MG,banana
"Sodium, Na",0.258260869565217,MG,banana
"Vitamin C, total ascorbic acid",0.166666666666667,MG,banana
Cholesterol,0.0,MG,banana
"Fatty acids, total saturated",0.0,G,banana
Protein,0.0,G,barley
Total lipid (fat),0.0,G,barley
"Carbohydrate, by difference",0.0,G,barley
"Fiber, total dietary",0.0,G,barley
"Calcium, Ca",0.0,MG,barley
"Iron, Fe",0.0,MG,barley
"Sodium, Na",0.0,MG,barley
"Vitamin C, total ascorbic acid",0.0,MG,barley
Cholesterol,0.0,MG,barley
"Fatty acids, total saturated",0.0,G,barley
Protein,0.0,G,basil
Total lipid (fat),0.0,G,basil
"Carbohydrate, by difference",0.0,G,basil
"Sodium, Na",0.0,MG,basil
Protein,0.0362666666666667,G,bean
Total lipid (fat),0.0207865168539326,G,bean
"Carbohydrate, by difference",0.0124705882352941,G,bean
"Fiber, total dietary",0.03828125,G,bean
"Calcium, Ca",0.02,MG,bean
"Iron, Fe",0.0888888888888889,MG,bean
"Magnesium, Mg",0.0952380952380952,MG,bean
"Phosphorus, P",0.084,MG,bean
"Potassium, K",0.0782978723404255,MG,bean
"Sodium, Na",0.19260869565217398,MG,bean
"Zinc, Zn",0.0627272727272727,MG,bean
"Copper, Cu",0.21777777777777801,MG,bean
"Selenium, Se",0.14,UG,bean
"Vitamin A, RAE",0.0,UG,bean
Vitamin E (alpha-tocopherol),0.0606666666666667,MG,bean
Vitamin D (D2 + D3),0.0,UG,bean
"Vitamin C, total ascorbic acid",0.0066666666666666706,MG,bean
Thiamin,0.075,MG,bean
Riboflavin,0.0769230769230769,MG,bean
Niacin,0.026875,MG,bean
Vitamin B-6,0.0676470588235294,MG,bean
Vitamin B-12,0.0,UG,bean
"Choline, total",0.0296363636363636,MG,bean
Vitamin K (phylloquinone),0.0141666666666667,UG,bean
"Folate, DFE",0.0525,UG,bean
Cholesterol,0.0,MG,bean
"Fatty acids, total saturated",0.00440833333333333,G,bean
Protein,0.133333333333333,G,beef
Total lipid (fat),0.0330337078651685,G,beef
"Carbohydrate, by difference",0.0,G,beef
"Fiber, total dietary",0.0,G,beef
"Calcium, Ca",0.0,MG,beef
"Iron, Fe",0.23555555555555605,MG,beef
"Sodium, Na",0.0921739130434783,MG,beef
"Vitamin C, total ascorbic acid",0.0,MG,beef
Cholesterol,0.17666666666666697,MG,beef
"Fatty acids, total saturated",0.0343333333333333,G,beef
Protein,0.142,G,beef rib
"Fiber, total dietary",0.0,G,beef rib
"Iron, Fe",0.10111111111111099,MG,beef rib
"Magnesium, Mg",0.0476190476190476,MG,beef rib
"Phosphorus, P",0.1472,MG,beef rib
"Sodium, Na",0.0234782608695652,MG,beef rib
"Copper, Cu",0.0522222222222222,MG,beef rib
"Manganese, Mn",0.00260869565217391,MG,beef rib
"Vitamin A, RAE",0.00888888888888889,UG,beef rib
Vitamin D (D2 + D3),0.01,UG,beef rib
"Vitamin C, total ascorbic acid",0.0,MG,beef rib
Thiamin,0.025,MG,beef rib
Riboflavin,0.0692307692307692,MG,beef rib
Vitamin B-12,0.4875,UG,beef rib
Cholesterol,0.19,MG,beef rib
"Fatty acids, total saturated",0.0204166666666667,G,beef rib
Total lipid (fat),0.0380898876404494,G,beef rib
"Carbohydrate, by difference",0.0,G,beef rib
"Calcium, Ca",0.0115384615384615,MG,beef rib
"Potassium, K",0.0717021276595745,MG,beef rib
"Zinc, Zn",0.359090909090909,MG,beef rib
"Selenium, Se",0.0527272727272727,UG,beef rib
Vitamin E (alpha-tocopherol),0.0493333333333333,MG,beef rib
Niacin,0.269375,MG,beef rib
Pantothenic acid,0.0586,MG,beef rib
Vitamin B-6,0.15,MG,beef rib
"Selenium, Se",0.321818181818182,UG,beef shank
Protein,0.145333333333333,G,beef shank
"Fiber, total dietary",0.0,G,beef shank
"Iron, Fe",0.128888888888889,MG,beef shank
"Magnesium, Mg",0.0333333333333333,MG,beef shank
"Phosphorus, P",0.1632,MG,beef shank
"Sodium, Na",0.0273913043478261,MG,beef shank
"Copper, Cu",0.0788888888888889,MG,beef shank
"Manganese, Mn",0.0060869565217391295,MG,beef shank
"Vitamin C, total ascorbic acid",0.0,MG,beef shank
Thiamin,0.0833333333333333,MG,beef shank
Riboflavin,0.16923076923076902,MG,beef shank
Vitamin B-12,1.39,UG,beef shank
Cholesterol,0.13,MG,beef shank
"Fatty acids, total saturated",0.0106666666666667,G,beef shank
Total lipid (fat),0.0216292134831461,G,beef shank
"Carbohydrate, by difference",0.0,G,beef shank
"Calcium, Ca",0.0153846153846154,MG,beef shank
"Potassium, K",0.0823404255319149,MG,beef shank
"Zinc, Zn",0.6309090909090911,MG,beef shank
Niacin,0.35875,MG,beef shank
Pantothenic acid,0.07,MG,beef shank
Vitamin B-6,0.276470588235294,MG,beef shank
"Vitamin A, RAE",0.0,UG,beef shank
"Folate, DFE",0.02,UG,beef shank
Protein,0.138,G,beef tenderloin
Total lipid (fat),0.0425842696629214,G,beef tenderloin
"Carbohydrate, by difference",0.0,G,beef tenderloin
"Fiber, total dietary",0.0,G,beef tenderloin
"Calcium, Ca",0.0,MG,beef tenderloin
"Iron, Fe",0.12611111111111098,MG,beef tenderloin
"Sodium, Na",0.0273913043478261,MG,beef tenderloin
"Vitamin C, total ascorbic acid",0.0,MG,beef tenderloin
Cholesterol,0.17,MG,beef tenderloin
"Fatty acids, total saturated",0.0295,G,beef tenderloin
Protein,0.00306666666666667,G,beer
Total lipid (fat),0.0,G,beer
"Carbohydrate, by difference",0.0027843137254902,G,beer
"Fiber, total dietary",0.0,G,beer
"Calcium, Ca",0.00307692307692308,MG,beer
"Iron, Fe",0.00111111111111111,MG,beer
"Magnesium, Mg",0.0142857142857143,MG,beer
"Phosphorus, P",0.0112,MG,beer
"Potassium, K",0.00574468085106383,MG,beer
"Sodium, Na",1.7391304347826102,MG,beer
"Zinc, Zn",0.000909090909090909,MG,beer
"Copper, Cu",0.00555555555555556,MG,beer
"Selenium, Se",0.0109090909090909,UG,beer
"Vitamin A, RAE",0.0,UG,beer
Vitamin E (alpha-tocopherol),0.0,MG,beer
Vitamin D (D2 + D3),0.0,UG,beer
"Vitamin C, total ascorbic acid",0.0,MG,beer
Thiamin,0.00416666666666667,MG,beer
Riboflavin,0.0192307692307692,MG,beer
Niacin,0.0320625,MG,beer
Vitamin B-6,0.0270588235294118,MG,beer
Vitamin B-12,0.00833333333333333,UG,beer
"Choline, total",0.0183636363636364,MG,beer
Vitamin K (phylloquinone),0.0,UG,beer
"Folate, DFE",0.015,UG,beer
Cholesterol,0.0,MG,beer
"Fatty acids, total saturated",0.0,G,beer
Protein,0.00533333333333333,G,beet
Total lipid (fat),0.00044943820224719103,G,beet
"Carbohydrate, by difference",0.0127843137254902,G,beet
"Fiber, total dietary",0.00625,G,beet
"Calcium, Ca",0.00846153846153846,MG,beet
"Iron, Fe",0.0227777777777778,MG,beet
"Magnesium, Mg",0.0357142857142857,MG,beet
"Phosphorus, P",0.0136,MG,beet
"Potassium, K",0.024468085106383,MG,beet
"Sodium, Na",0.0647826086956522,MG,beet
"Zinc, Zn",0.0236363636363636,MG,beet
"Copper, Cu",0.128888888888889,MG,beet
"Selenium, Se",0.0181818181818182,UG,beet
"Vitamin A, RAE",0.00222222222222222,UG,beet
Vitamin E (alpha-tocopherol),0.004,MG,beet
Vitamin D (D2 + D3),0.0,UG,beet
"Vitamin C, total ascorbic acid",0.0255555555555556,MG,beet
Thiamin,0.00833333333333333,MG,beet
Riboflavin,0.0369230769230769,MG,beet
Niacin,0.0156875,MG,beet
Vitamin B-6,0.0294117647058824,MG,beet
Vitamin B-12,0.0,UG,beet
"Choline, total",0.0272727272727273,MG,beet
Vitamin K (phylloquinone),0.0025,UG,beet
"Folate, DFE",0.0675,UG,beet
Cholesterol,0.0,MG,beet
"Fatty acids, total saturated",0.00010833333333333299,G,beet
"Iron, Fe",0.0103333333333333,MG,bell pepper
"Magnesium, Mg",0.0214285714285714,MG,bell pepper
"Phosphorus, P",0.01344,MG,bell pepper
"Potassium, K",0.0346808510638298,MG,bell pepper
"Sodium, Na",0.0,MG,bell pepper
"Zinc, Zn",0.0114545454545455,MG,bell pepper
"Copper, Cu",0.0642222222222222,MG,bell pepper
"Vitamin C, total ascorbic acid",1.10555555555556,MG,bell pepper
Total lipid (fat),0.0005955056179775281,G,bell pepper
"Manganese, Mn",0.0434347826086957,MG,bell pepper
Thiamin,0.0325833333333333,MG,bell pepper
Riboflavin,0.0683076923076923,MG,bell pepper
Niacin,0.03975,MG,bell pepper
"Selenium, Se",0.0,UG,bell pepper
"Fiber, total dietary",0.007359375,G,bell pepper
Vitamin B-6,0.145294117647059,MG,bell pepper
Biotin,0.0,UG,bell pepper
"Calcium, Ca",0.00576923076923077,MG,bell pepper
Protein,0.00476666666666667,G,bell pepper
"Carbohydrate, by difference",0.0037490196078431397,G,bell pepper
"Calcium, Ca",0.307692307692308,MG,biscuit
"Iron, Fe",0.133333333333333,MG,biscuit
"Vitamin C, total ascorbic acid",0.0,MG,biscuit
Protein,0.0533333333333333,G,biscuit
Total lipid (fat),0.11235955056179801,G,biscuit
"Carbohydrate, by difference",0.0261176470588235,G,biscuit
"Sodium, Na",0.243478260869565,MG,biscuit
Cholesterol,0.17666666666666697,MG,biscuit
"Fatty acids, total saturated",0.0891666666666667,G,biscuit
"Fiber, total dietary",0.01015625,G,biscuit
Protein,0.00546666666666667,G,bitters
Total lipid (fat),0.0152247191011236,G,bitters
"Carbohydrate, by difference",0.00328627450980392,G,bitters
"Fiber, total dietary",0.01484375,G,bitters
"Calcium, Ca",0.006923076923076921,MG,bitters
"Iron, Fe",0.0205555555555556,MG,bitters
"Magnesium, Mg",0.0380952380952381,MG,bitters
"Phosphorus, P",0.027999999999999997,MG,bitters
"Potassium, K",0.0657446808510638,MG,bitters
"Sodium, Na",0.0556521739130435,MG,bitters
"Zinc, Zn",0.0681818181818182,MG,bitters
"Copper, Cu",0.0355555555555556,MG,bitters
"Selenium, Se",0.00363636363636364,UG,bitters
"Vitamin A, RAE",0.0188888888888889,UG,bitters
Vitamin E (alpha-tocopherol),0.0286666666666667,MG,bitters
Vitamin D (D2 + D3),0.0,UG,bitters
"Vitamin C, total ascorbic acid",0.35444444444444395,MG,bitters
Thiamin,0.0408333333333333,MG,bitters
Riboflavin,0.04,MG,bitters
Niacin,0.017,MG,bitters
Vitamin B-6,0.0329411764705882,MG,bitters
Vitamin B-12,0.0,UG,bitters
"Choline, total",0.0194545454545455,MG,bitters
Vitamin K (phylloquinone),0.0583333333333333,UG,bitters
"Folate, DFE",0.1225,UG,bitters
Cholesterol,0.0066666666666666706,MG,bitters
"Fatty acids, total saturated",0.00611666666666667,G,bitters
"Sodium, Na",0.0,MG,blackberry
Cholesterol,0.0,MG,blackberry
"Fatty acids, total saturated",0.0,G,blackberry
Protein,0.00386666666666667,G,blackberry
Total lipid (fat),0.0016292134831460698,G,blackberry
"Carbohydrate, by difference",0.00389019607843137,G,blackberry
"Fiber, total dietary",0.01328125,G,blackberry
"Calcium, Ca",1.53846153846154,MG,blackberry
"Iron, Fe",0.00233333333333333,MG,blackberry
"Vitamin C, total ascorbic acid",0.0888888888888889,MG,blackberry
Protein,0.142666666666667,G,blue cheese
Total lipid (fat),0.160674157303371,G,blue cheese
"Carbohydrate, by difference",0.0028,G,blue cheese
"Fiber, total dietary",0.028125,G,blue cheese
"Calcium, Ca",0.41230769230769204,MG,blue cheese
"Iron, Fe",0.0,MG,blue cheese
"Sodium, Na",0.591304347826087,MG,blue cheese
"Vitamin C, total ascorbic acid",0.0,MG,blue cheese
Cholesterol,0.23666666666666697,MG,blue cheese
"Fatty acids, total saturated",0.149166666666667,G,blue cheese
Protein,0.0,G,blueberry
Total lipid (fat),0.0,G,blueberry
"Carbohydrate, by difference",0.0509803921568627,G,blueberry
"Sodium, Na",0.0,MG,blueberry
Protein,0.0358,G,bourbon
Total lipid (fat),0.147191011235955,G,bourbon
"Carbohydrate, by difference",0.0500392156862745,G,bourbon
"Fiber, total dietary",0.01015625,G,bourbon
"Calcium, Ca",0.01,MG,bourbon
"Iron, Fe",0.165555555555556,MG,bourbon
"Magnesium, Mg",0.0333333333333333,MG,bourbon
"Phosphorus, P",0.0528,MG,bourbon
"Potassium, K",0.0187234042553191,MG,bourbon
"Sodium, Na",0.153478260869565,MG,bourbon
"Zinc, Zn",0.0445454545454545,MG,bourbon
"Copper, Cu",0.1,MG,bourbon
"Selenium, Se",0.11272727272727301,UG,bourbon
"Vitamin A, RAE",0.0,UG,bourbon
Vitamin E (alpha-tocopherol),0.162666666666667,MG,bourbon
Vitamin D (D2 + D3),0.0,UG,bourbon
"Vitamin C, total ascorbic acid",0.0,MG,bourbon
Thiamin,0.29416666666666696,MG,bourbon
Riboflavin,0.241538461538462,MG,bourbon
Niacin,0.205,MG,bourbon
Vitamin B-6,0.0417647058823529,MG,bourbon
Vitamin B-12,0.0,UG,bourbon
"Choline, total",0.00163636363636364,MG,bourbon
Vitamin K (phylloquinone),0.0916666666666667,UG,bourbon
"Folate, DFE",0.31,UG,bourbon
Cholesterol,0.0,MG,bourbon
"Fatty acids, total saturated",0.0675,G,bourbon
Protein,0.064,G,bran
Total lipid (fat),0.0337078651685393,G,bran
"Carbohydrate, by difference",0.0349803921568627,G,bran
"Fiber, total dietary",0.0296875,G,bran
"Calcium, Ca",0.0730769230769231,MG,bran
"Iron, Fe",0.21944444444444394,MG,bran
"Magnesium, Mg",0.104761904761905,MG,bran
"Phosphorus, P",0.0976,MG,bran
"Potassium, K",0.0340425531914894,MG,bran
"Sodium, Na",0.19913043478260897,MG,bran
"Zinc, Zn",0.0954545454545455,MG,bran
"Copper, Cu",0.24,MG,bran
"Selenium, Se",0.578181818181818,UG,bran
"Vitamin A, RAE",0.0,UG,bran
Vitamin E (alpha-tocopherol),0.0046666666666666705,MG,bran
Vitamin D (D2 + D3),0.0,UG,bran
"Vitamin C, total ascorbic acid",0.0,MG,bran
Thiamin,0.3858333333333329,MG,bran
Riboflavin,0.238461538461538,MG,bran
Niacin,0.279375,MG,bran
Vitamin B-6,0.0541176470588235,MG,bran
Vitamin B-12,0.00416666666666667,UG,bran
"Choline, total",0.0481818181818182,MG,bran
Vitamin K (phylloquinone),0.0258333333333333,UG,bran
"Folate, DFE",0.4275,UG,bran
Cholesterol,0.0,MG,bran
"Fatty acids, total saturated",0.0115833333333333,G,bran
Protein,0.0,G,brandy
Total lipid (fat),0.0,G,brandy
"Carbohydrate, by difference",0.0,G,brandy
"Fiber, total dietary",0.0,G,brandy
"Calcium, Ca",0.0,MG,brandy
"Iron, Fe",0.00222222222222222,MG,brandy
"Magnesium, Mg",0.0,MG,brandy
"Phosphorus, P",0.0032,MG,brandy
"Potassium, K",0.425531914893617,MG,brandy
"Sodium, Na",0.43478260869565205,MG,brandy
"Zinc, Zn",0.00363636363636364,MG,brandy
"Copper, Cu",0.0233333333333333,MG,brandy
"Selenium, Se",0.0,UG,brandy
"Vitamin A, RAE",0.0,UG,brandy
Vitamin E (alpha-tocopherol),0.0,MG,brandy
Vitamin D (D2 + D3),0.0,UG,brandy
"Vitamin C, total ascorbic acid",0.0,MG,brandy
Thiamin,0.005,MG,brandy
Riboflavin,0.00307692307692308,MG,brandy
Niacin,0.0008125,MG,brandy
Vitamin B-6,0.000588235294117647,MG,brandy
Vitamin B-12,0.0,UG,brandy
"Choline, total",0.0,MG,brandy
Vitamin K (phylloquinone),0.0,UG,brandy
"Folate, DFE",0.0,UG,brandy
Cholesterol,0.0,MG,brandy
"Fatty acids, total saturated",0.0,G,brandy
Protein,0.0526,G,bread
Total lipid (fat),0.0,G,bread
"Carbohydrate, by difference",0.0433725490196078,G,bread
"Fiber, total dietary",0.0203125,G,bread
"Calcium, Ca",0.0,MG,bread
"Iron, Fe",0.0527777777777778,MG,bread
"Sodium, Na",0.240434782608696,MG,bread
"Vitamin C, total ascorbic acid",0.0,MG,bread
Cholesterol,0.0,MG,bread
"Fatty acids, total saturated",0.0,G,bread
Total lipid (fat),0.0,G,breadcrumbs
"Calcium, Ca",0.0,MG,breadcrumbs
"Iron, Fe",0.0,MG,breadcrumbs
